mode: set
henge/sql.go:14.134,17.16 3 1
henge/dao_universal_dynamodb.go:269.75,271.3 1 1
henge/dao_universal_dynamodb.go:276.72,278.53 2 1
henge/dao_universal_dynamodb.go:284.2,285.41 2 1
henge/dao_universal_dynamodb.go:288.2,289.16 2 1
henge/dao_universal_dynamodb.go:292.2,297.16 4 1
henge/dao_universal_dynamodb.go:300.2,305.31 4 1
henge/dao_universal_dynamodb.go:318.2,319.71 2 1
henge/dao_universal_dynamodb.go:326.2,326.18 1 1
henge/dao_universal_dynamodb.go:278.53,282.3 2 1
henge/dao_universal_dynamodb.go:285.41,287.3 1 0
henge/dao_universal_dynamodb.go:289.16,291.3 1 0
henge/dao_universal_dynamodb.go:297.16,299.3 1 0
henge/dao_universal_dynamodb.go:305.31,307.34 2 1
henge/dao_universal_dynamodb.go:310.3,311.17 2 1
henge/dao_universal_dynamodb.go:314.3,314.36 1 1
henge/dao_universal_dynamodb.go:307.34,309.4 1 1
henge/dao_universal_dynamodb.go:311.17,313.4 1 0
henge/dao_universal_dynamodb.go:319.71,320.53 1 1
henge/dao_universal_dynamodb.go:320.53,321.48 1 1
henge/dao_universal_dynamodb.go:321.48,323.5 1 1
henge/dao_universal_dynamodb.go:330.71,332.16 2 1
henge/dao_universal_dynamodb.go:335.2,335.36 1 1
henge/dao_universal_dynamodb.go:332.16,334.3 1 0
henge/dao_universal_dynamodb.go:339.132,343.16 2 1
henge/dao_universal_dynamodb.go:346.2,347.30 2 1
henge/dao_universal_dynamodb.go:351.2,351.20 1 1
henge/dao_universal_dynamodb.go:343.16,345.3 1 0
henge/dao_universal_dynamodb.go:347.30,350.3 2 1
henge/dao_universal_dynamodb.go:355.106,357.2 1 1
henge/dao_universal_dynamodb.go:360.72,362.53 2 1
henge/dao_universal_dynamodb.go:369.2,370.16 2 1
henge/dao_universal_dynamodb.go:373.2,373.19 1 1
henge/dao_universal_dynamodb.go:377.2,378.41 2 1
henge/dao_universal_dynamodb.go:381.2,382.29 2 1
henge/dao_universal_dynamodb.go:385.2,386.16 2 1
henge/dao_universal_dynamodb.go:389.2,390.29 2 1
henge/dao_universal_dynamodb.go:394.2,394.29 1 1
henge/dao_universal_dynamodb.go:398.2,404.16 5 1
henge/dao_universal_dynamodb.go:407.2,413.34 5 1
henge/dao_universal_dynamodb.go:423.2,423.31 1 1
henge/dao_universal_dynamodb.go:438.2,439.71 2 1
henge/dao_universal_dynamodb.go:446.2,446.18 1 1
henge/dao_universal_dynamodb.go:362.53,366.3 2 1
henge/dao_universal_dynamodb.go:370.16,372.3 1 0
henge/dao_universal_dynamodb.go:373.19,375.3 1 1
henge/dao_universal_dynamodb.go:378.41,380.3 1 0
henge/dao_universal_dynamodb.go:382.29,384.3 1 0
henge/dao_universal_dynamodb.go:386.16,388.3 1 0
henge/dao_universal_dynamodb.go:390.29,392.3 1 0
henge/dao_universal_dynamodb.go:394.29,396.3 1 1
henge/dao_universal_dynamodb.go:404.16,406.3 1 0
henge/dao_universal_dynamodb.go:413.34,414.25 1 1
henge/dao_universal_dynamodb.go:414.25,417.18 3 1
henge/dao_universal_dynamodb.go:420.4,420.37 1 1
henge/dao_universal_dynamodb.go:417.18,419.5 1 0
henge/dao_universal_dynamodb.go:423.31,424.28 1 1
henge/dao_universal_dynamodb.go:424.28,426.35 2 1
henge/dao_universal_dynamodb.go:429.4,430.18 2 1
henge/dao_universal_dynamodb.go:433.4,433.37 1 1
henge/dao_universal_dynamodb.go:426.35,428.5 1 1
henge/dao_universal_dynamodb.go:430.18,432.5 1 0
henge/dao_universal_dynamodb.go:439.71,440.53 1 1
henge/dao_universal_dynamodb.go:440.53,441.48 1 1
henge/dao_universal_dynamodb.go:441.48,443.5 1 1
henge/dao_universal_dynamodb.go:450.84,452.16 2 1
henge/dao_universal_dynamodb.go:456.2,457.53 2 1
henge/dao_universal_dynamodb.go:463.2,465.41 3 1
henge/dao_universal_dynamodb.go:468.2,469.29 2 1
henge/dao_universal_dynamodb.go:472.2,473.16 2 1
henge/dao_universal_dynamodb.go:476.2,477.29 2 1
henge/dao_universal_dynamodb.go:481.2,486.16 4 1
henge/dao_universal_dynamodb.go:489.2,495.34 5 1
henge/dao_universal_dynamodb.go:505.2,505.31 1 1
henge/dao_universal_dynamodb.go:520.2,521.71 2 1
henge/dao_universal_dynamodb.go:528.2,528.28 1 1
henge/dao_universal_dynamodb.go:452.16,454.3 1 0
henge/dao_universal_dynamodb.go:457.53,461.3 2 1
henge/dao_universal_dynamodb.go:465.41,467.3 1 0
henge/dao_universal_dynamodb.go:469.29,471.3 1 0
henge/dao_universal_dynamodb.go:473.16,475.3 1 0
henge/dao_universal_dynamodb.go:477.29,479.3 1 0
henge/dao_universal_dynamodb.go:486.16,488.3 1 0
henge/dao_universal_dynamodb.go:495.34,496.25 1 1
henge/dao_universal_dynamodb.go:496.25,499.18 3 1
henge/dao_universal_dynamodb.go:502.4,502.37 1 1
henge/dao_universal_dynamodb.go:499.18,501.5 1 0
henge/dao_universal_dynamodb.go:505.31,506.28 1 1
henge/dao_universal_dynamodb.go:506.28,508.35 2 1
henge/dao_universal_dynamodb.go:511.4,512.18 2 1
henge/dao_universal_dynamodb.go:515.4,515.37 1 1
henge/dao_universal_dynamodb.go:508.35,510.5 1 1
henge/dao_universal_dynamodb.go:512.18,514.5 1 0
henge/dao_universal_dynamodb.go:521.71,522.53 1 1
henge/dao_universal_dynamodb.go:522.53,523.48 1 1
henge/dao_universal_dynamodb.go:523.48,525.5 1 1
henge/dao_universal_mongodb.go:14.78,17.2 2 0
henge/dao_universal_mongodb.go:19.45,21.2 1 0
henge/dao_universal_mongodb.go:29.92,31.61 2 0
henge/dao_universal_mongodb.go:39.2,39.17 1 0
henge/dao_universal_mongodb.go:31.61,38.3 6 0
henge/dao_universal_mongodb.go:43.92,47.16 2 0
henge/dao_universal_mongodb.go:57.2,57.17 1 0
henge/dao_universal_mongodb.go:47.16,52.62 5 0
henge/dao_universal_mongodb.go:52.62,55.4 2 0
henge/dao_universal_mongodb.go:61.65,63.2 1 0
henge/dao_universal_mongodb.go:72.106,78.2 5 0
henge/dao_universal_mongodb.go:92.91,94.2 1 0
henge/dao_universal_mongodb.go:97.80,98.16 1 0
henge/dao_universal_mongodb.go:101.2,103.42 3 0
henge/dao_universal_mongodb.go:106.2,114.3 1 0
henge/dao_universal_mongodb.go:98.16,100.3 1 0
henge/dao_universal_mongodb.go:103.42,105.3 1 0
henge/dao_universal_mongodb.go:118.78,119.16 1 0
henge/dao_universal_mongodb.go:122.2,129.36 8 0
henge/dao_universal_mongodb.go:132.2,132.12 1 0
henge/dao_universal_mongodb.go:119.16,121.3 1 0
henge/dao_universal_mongodb.go:129.36,131.3 1 0
henge/dao_universal_mongodb.go:136.69,139.2 2 0
henge/dao_universal_mongodb.go:142.69,145.2 2 0
henge/dao_universal_mongodb.go:148.68,150.16 2 0
henge/dao_universal_mongodb.go:153.2,153.36 1 0
henge/dao_universal_mongodb.go:150.16,152.3 1 0
henge/dao_universal_mongodb.go:157.129,158.20 1 0
henge/dao_universal_mongodb.go:162.2,163.16 2 0
henge/dao_universal_mongodb.go:166.2,167.30 2 0
henge/dao_universal_mongodb.go:171.2,171.20 1 0
henge/dao_universal_mongodb.go:158.20,161.3 1 0
henge/dao_universal_mongodb.go:163.16,165.3 1 0
henge/dao_universal_mongodb.go:167.30,170.3 2 0
henge/dao_universal_mongodb.go:175.103,177.2 1 0
henge/dao_universal_mongodb.go:180.69,183.2 2 0
henge/dao_universal_mongodb.go:186.81,188.16 2 0
henge/dao_universal_mongodb.go:191.2,192.35 2 0
henge/dao_universal_mongodb.go:188.16,190.3 1 0
henge/dao_universal_mysql.go:13.137,15.16 2 0
henge/dao_universal_mysql.go:18.2,20.18 3 0
henge/dao_universal_mysql.go:15.16,17.3 1 0
henge/dao_universal_mysql.go:29.97,39.30 3 0
henge/dao_universal_mysql.go:43.2,44.68 2 0
henge/dao_universal_mysql.go:39.30,42.3 2 0
henge/dao_universal_pgsql.go:13.137,15.16 2 0
henge/dao_universal_pgsql.go:18.2,20.18 3 0
henge/dao_universal_pgsql.go:15.16,17.3 1 0
henge/dao_universal_pgsql.go:29.97,39.30 3 0
henge/dao_universal_pgsql.go:43.2,44.68 2 0
henge/dao_universal_pgsql.go:39.30,42.3 2 0
henge/dao_universal_sql.go:12.106,16.54 4 1
henge/dao_universal_sql.go:21.2,26.3 1 1
henge/dao_universal_sql.go:16.54,20.3 3 1
henge/dao_universal_sql.go:35.146,42.2 6 1
henge/dao_universal_sql.go:86.89,88.2 1 1
henge/dao_universal_sql.go:91.78,92.16 1 1
henge/dao_universal_sql.go:95.2,97.42 3 1
henge/dao_universal_sql.go:100.2,108.3 1 1
henge/dao_universal_sql.go:92.16,94.3 1 1
henge/dao_universal_sql.go:97.42,99.3 1 1
henge/dao_universal_sql.go:112.76,113.16 1 1
henge/dao_universal_sql.go:116.2,123.36 8 1
henge/dao_universal_sql.go:126.2,126.12 1 1
henge/dao_universal_sql.go:113.16,115.3 1 0
henge/dao_universal_sql.go:123.36,125.3 1 1
henge/dao_universal_sql.go:130.67,133.2 2 1
henge/dao_universal_sql.go:136.67,139.2 2 1
henge/dao_universal_sql.go:142.66,144.16 2 1
henge/dao_universal_sql.go:147.2,147.36 1 1
henge/dao_universal_sql.go:144.16,146.3 1 0
henge/dao_universal_sql.go:151.127,152.20 1 1
henge/dao_universal_sql.go:156.2,157.16 2 1
henge/dao_universal_sql.go:160.2,161.30 2 1
henge/dao_universal_sql.go:165.2,165.20 1 1
henge/dao_universal_sql.go:152.20,155.3 1 1
henge/dao_universal_sql.go:157.16,159.3 1 0
henge/dao_universal_sql.go:161.30,164.3 2 1
henge/dao_universal_sql.go:169.101,171.2 1 1
henge/dao_universal_sql.go:174.67,177.2 2 1
henge/dao_universal_sql.go:180.79,182.16 2 1
henge/dao_universal_sql.go:185.2,186.35 2 1
henge/dao_universal_sql.go:182.16,184.3 1 0
henge/dao_universal_sqlite.go:16.136,18.16 2 1
henge/dao_universal_sqlite.go:21.2,22.16 2 1
henge/dao_universal_sqlite.go:25.2,26.18 2 1
henge/dao_universal_sqlite.go:18.16,20.3 1 0
henge/dao_universal_sqlite.go:22.16,24.3 1 0
henge/dao_universal_sqlite.go:35.98,45.30 3 1
henge/dao_universal_sqlite.go:49.2,50.68 2 1
henge/dao_universal_sqlite.go:45.30,48.3 2 1
henge/henge.go:27.66,28.16 1 1
henge/henge.go:31.2,32.24 2 1
henge/henge.go:48.2,48.15 1 1
henge/henge.go:28.16,30.3 1 1
henge/henge.go:32.24,33.19 1 1
henge/henge.go:34.22,35.45 1 1
henge/henge.go:36.23,38.21 2 1
henge/henge.go:39.31,40.52 1 1
henge/henge.go:41.32,43.21 2 1
henge/henge.go:44.11,45.17 1 1
henge/henge.go:52.50,53.16 1 1
henge/henge.go:56.2,57.24 2 1
henge/henge.go:73.2,73.15 1 1
henge/henge.go:53.16,55.3 1 1
henge/henge.go:57.24,58.19 1 1
henge/henge.go:59.22,60.45 1 1
henge/henge.go:61.23,63.21 2 1
henge/henge.go:64.31,65.52 1 1
henge/henge.go:66.32,68.21 2 1
henge/henge.go:69.11,70.17 1 1
henge/henge.go:79.64,90.2 3 1
henge/henge.go:145.93,156.2 2 1
henge/henge.go:161.106,162.20 1 1
henge/henge.go:165.2,166.21 2 1
henge/henge.go:169.2,169.15 1 1
henge/henge.go:162.20,164.3 1 1
henge/henge.go:166.21,168.3 1 0
henge/henge.go:173.55,187.2 5 1
henge/henge.go:190.58,193.16 3 1
henge/henge.go:196.2,196.16 1 1
henge/henge.go:199.2,199.16 1 1
henge/henge.go:202.2,202.16 1 1
henge/henge.go:205.2,205.16 1 1
henge/henge.go:208.2,208.16 1 1
henge/henge.go:211.2,211.16 1 1
henge/henge.go:214.2,214.16 1 1
henge/henge.go:218.2,226.27 9 1
henge/henge.go:229.2,231.12 3 1
henge/henge.go:193.16,195.3 1 1
henge/henge.go:196.16,198.3 1 1
henge/henge.go:199.16,201.3 1 1
henge/henge.go:202.16,204.3 1 1
henge/henge.go:205.16,207.3 1 1
henge/henge.go:208.16,210.3 1 1
henge/henge.go:211.16,213.3 1 1
henge/henge.go:214.16,216.3 1 0
henge/henge.go:226.27,228.3 1 1
henge/henge.go:235.40,237.2 1 1
henge/henge.go:240.58,246.2 5 1
henge/henge.go:249.46,251.2 1 1
henge/henge.go:266.69,268.36 2 1
henge/henge.go:279.2,279.22 1 1
henge/henge.go:284.2,284.12 1 1
henge/henge.go:268.36,269.30 1 1
henge/henge.go:269.30,272.4 2 1
henge/henge.go:272.9,272.39 1 0
henge/henge.go:272.39,275.4 2 0
henge/henge.go:275.9,277.4 1 0
henge/henge.go:279.22,281.3 1 1
henge/henge.go:281.8,283.3 1 0
henge/henge.go:287.65,292.2 4 1
henge/henge.go:295.64,299.2 3 1
henge/henge.go:302.48,304.2 1 1
henge/henge.go:307.66,313.2 5 1
henge/henge.go:316.46,318.2 1 1
henge/henge.go:321.52,323.2 1 1
henge/henge.go:326.52,328.2 1 1
henge/henge.go:331.70,334.2 2 1
henge/henge.go:337.40,339.2 1 1
henge/henge.go:342.71,344.2 1 1
henge/henge.go:347.68,349.2 1 1
henge/henge.go:352.88,355.2 2 1
henge/henge.go:358.93,361.2 2 1
henge/henge.go:364.90,367.2 2 1
henge/henge.go:369.49,370.23 1 1
henge/henge.go:370.23,372.35 2 1
henge/henge.go:375.3,375.31 1 1
henge/henge.go:372.35,374.4 1 0
henge/henge.go:380.91,384.23 4 1
henge/henge.go:387.2,387.45 1 1
henge/henge.go:384.23,386.3 1 0
henge/henge.go:391.75,396.23 5 1
henge/henge.go:399.2,399.22 1 1
henge/henge.go:405.2,405.41 1 1
henge/henge.go:396.23,398.3 1 0
henge/henge.go:400.17,401.74 1 1
henge/henge.go:402.18,403.75 1 1
henge/henge.go:409.64,413.2 3 1
henge/henge.go:416.62,419.2 2 1
henge/henge.go:422.91,425.2 2 1
henge/henge.go:428.93,431.2 2 1
henge/henge.go:434.88,437.2 2 1
henge/henge.go:440.90,443.2 2 1
henge/henge.go:446.82,449.28 3 1
henge/henge.go:452.2,453.22 2 1
henge/henge.go:459.2,460.12 2 1
henge/henge.go:449.28,451.3 1 0
henge/henge.go:454.17,455.74 1 0
henge/henge.go:456.18,457.75 1 1
henge/henge.go:463.46,464.16 1 1
henge/henge.go:478.2,478.12 1 1
henge/henge.go:464.16,477.3 6 1
henge/henge.go:482.45,486.2 3 1
henge/henge.go:489.46,505.2 4 1
